OverallRating,ReviewHeader,TypeOfTraveller,SeatType,DateFlown,SeatComfort,CabinStaffService,GroundService,Aircraft,Food&Beverages,Departure,Destination
2.9,"""No check in staff for Economy""",Solo Leisure,Economy Class,Sep,4.0,4.0,1.0,Embraer,1.0,Frankfurt,London
0.0,"""lost the connecting flight to Tirana""",Solo Leisure,Economy Class,Sep,2.0,3.0,1.0,A321 Neo,3.0,Boston,Tirana London
0.2,"""service on the same route is becoming worse""",Couple Leisure,Economy Class,Aug,1.0,1.0,1.0,Boeing 777,1.0,Washington DC,London
4.6,"""the most comfortable seats""",Solo Leisure,Economy Class,Aug,5.0,4.0,3.0,Boeing 787-8,1.0,London,Moscow Domodedovo
10.0,"""value for money here is incredible""",Solo Leisure,Economy Class,Aug,4.0,5.0,5.0,A321,4.0,London,Athens
7.3,"""Food and drinks fine""",Family Leisure,Economy Class,Aug,4.0,5.0,4.0,A320,4.0,London,Corfu
0.7,"""frustrated, upset and disappointed""",Family Leisure,Business Class,Aug,4.0,1.0,1.0,A319,2.0,Moscow,Heathrow
1.9,"""piled into the bus and left""",Business,Business Class,Aug,3.0,2.0,1.0,Boeing 777-200ER,2.0,Heathrow,Munich
6.1,"""On board staff were good""",Couple Leisure,Business Class,Jul,3.0,4.0,3.0,A330,5.0,Heathrow,Nice
7.1,"""very slick on board experience""",Family Leisure,Business Class,Jul,4.0,5.0,4.0,Boeing 777-200,5.0,Cancun,Gatwick
6.8,"""Not complete return to old days""",Family Leisure,Business Class,Jul,5.0,5.0,4.0,Boeing 777-200,4.0,Gatwick,Cancun
3.9,"""uncomfortable, miserly experience """,Solo Leisure,Business Class,Jun,1.0,2.0,3.0,Boeing 787,3.0,London,Mexico City
8.0,"""Service was a little perfunctory""",Couple Leisure,Business Class,Jun,4.0,3.0,5.0,A320,3.0,Preveza,London
9.3,"""I am really grateful""",Solo Leisure,Economy Class,Jun,4.0,4.0,4.0,A321 Neo,4.0,London,Accra
8.3,"""a thoroughly reassuring, coming out of COVID, experience""",Couple Leisure,Business Class,May,4.0,4.0,5.0,A320,4.0,Heathrow,Preveza
9.9,"""Fantastic flight down to Heathrow""",Solo Leisure,Economy Class,May,4.0,5.0,4.0,A321 Neo,4.0,Aberdeen,Heathrow
5.1,"""COVID protocols are not as robust as they should be""",Solo Leisure,Economy Class,Apr,4.0,5.0,5.0,Boeing 737-800,4.0,Johannesburg,Cape Town
4.6,"""I would need to call up to rebook""",Solo Leisure,Economy Class,Dec,2.0,4.0,3.0,Boeing 777-200,1.0,Gatwick,Cancun
0.7,"""had my flight cancelled on 3 occasions""",Couple Leisure,Economy Class,Feb,1.0,1.0,1.0,Boeing 747,1.0,Bridgetown,London
1.4,"""Do not recommend to anyone in Covid restrictions""",Solo Leisure,Economy Class,Dec,5.0,5.0,5.0,Boeing 787-8,5.0,Sofia,Heathrow
10.0,"""She was an amazing person""",Solo Leisure,Economy Class,Feb,5.0,5.0,4.0,A321 Neo,5.0,Mumbai,London
3.6,"""not what you'd expect from a premium product""",Business,First Class,Jan,2.0,5.0,3.0,Boeing 787-9,1.0,Mexico City,Heathrow
8.1,"""Good service the whole way""",Solo Leisure,Economy Class,Dec,5.0,4.0,5.0,Boeing 777-300 ER,4.0,Heathrow,Belfast
4.9,"""passengers with masks below nose""",Solo Leisure,Premium Economy,Jul,4.0,1.0,5.0,A350,1.0,Heathrow,Dubai
6.8,"""happy with product and would use again""",Solo Leisure,Business Class,Dec,3.0,5.0,4.0,A321,3.0,London,Tenerife
3.8,"""It's not at all child friendly""",Family Leisure,Economy Class,Dec,1.0,1.0,1.0,Boeing 747,1.0,Heathrow,Lahore
9.9,"""my experience with BA was very positive""",Solo Leisure,Economy Class,Oct,5.0,4.0,3.0,A319,3.0,London,Venice
9.3,"""refunded my tickets within 2 working days""",Couple Leisure,Economy Class,Nov,5.0,5.0,5.0,Boeing 777-200,5.0,Munich,London
4.5,"""Everything was nice except food""",Family Leisure,Economy Class,Oct,5.0,5.0,5.0,Boeing 787,1.0,London,Bangalore
9.5,"""Everything I expected""",Solo Leisure,Business Class,Sep,5.0,5.0,4.0,A320 Neo,5.0,Warsaw,London-Heathrow
0.1,"""told that the check-in had closed""",Couple Leisure,Economy Class,Aug,4.0,4.0,1.0,A321,3.0,London,Santorini
0.7,"""I filed a claim""",Couple Leisure,Economy Class,Feb,2.0,3.0,5.0,A321,2.0,London,Paris
2.3,"""lack of social distancing""",Business,Economy Class,Aug,1.0,1.0,2.0,A319,2.0,Berlin,London
9.2,"""I was pleasantly surprised""",Solo Leisure,Economy Class,Jul,5.0,5.0,5.0,A320,3.0,Newcastle,Heathrow
1.8,"""all about money with them""",Family Leisure,Premium Economy,Mar,3.0,2.0,2.0,Boeing 767,1.0,Tokyo,London
0.8,"""arrived 3 hrs 25 mins late""",Couple Leisure,Economy Class,Mar,3.0,3.0,5.0,Boeing 747-400,2.0,Los Angeles,London
10.0,"""it definitely lived up to my expectations""",Couple Leisure,Business Class,Feb,5.0,5.0,5.0,A350,5.0,Heathrow,Toronto 
7.6,"""cabin crew were friendly and professional""",Couple Leisure,Business Class,Feb,5.0,5.0,5.0,Boeing 747-400,5.0,Las Vegas,London Heathrow 
0.3,"""never use this airline again""",Solo Leisure,Economy Class,Mar,1.0,1.0,1.0,A350,1.0,Sydney,Singapore
0.7,"""laptop was left inside the flight""",Business,Economy Class,Mar,2.0,3.0,1.0,Boeing 787-9,2.0,Johannesburg,London
2.3,"""lies and lack of informatio""",Solo Leisure,Business Class,Mar,3.0,5.0,3.0,Boeing 747,4.0,Nashville,Chicago
10.0,"""thank our crew in particular""",Couple Leisure,Premium Economy,Mar,5.0,5.0,5.0,A380-800,4.0,Mumbai,Heathrow
1.8,"""narrow business class facing seats""",Business,Business Class,Mar,1.0,1.0,1.0,Boeing 747-400,1.0,Chicago,Heathrow
1.8,"""airline needs major overhaul""",Business,Business Class,Feb,1.0,1.0,1.0,Boeing 747-400,1.0,London,New York
3.5,"""unfriendly and inconsiderate to me""",Business,Economy Class,Oct,2.0,3.0,1.0,Boeing 777-200,3.0,Frankfurt,London
7.1,"""BA has really upped their game""",Solo Leisure,Economy Class,Jan,3.0,5.0,4.0,Boeing 787,4.0,London,Beijing
8.8,"""friendly and helpful""",Family Leisure,Economy Class,Jan,5.0,5.0,5.0,A380,5.0,Hong Kong,London
8.5,"""Very happy with the service""",Couple Leisure,Economy Class,Mar,4.0,5.0,5.0,Boeing 777-200,5.0,Mumbai,London
8.4,"""positive, friendly attitude""",Couple Leisure,Economy Class,Feb,4.0,5.0,2.0,Boeing 777-200,5.0,London,Delhi
1.8,"""never use British Airways again""",Solo Leisure,Economy Class,Feb,3.0,3.0,1.0,Boeing 787-9,3.0,Singapore,London
3.1,"""Food and drinks are expensive""",Solo Leisure,Economy Class,Feb,2.0,3.0,3.0,Boeing 747-400,1.0,Gatwick,Malaga
10.0,"""the crew were outstanding""",Solo Leisure,Premium Economy,Feb,4.0,5.0,4.0,Boeing 747-400,5.0,Vancouver,London
6.8,"""food is the standout problem""",Solo Leisure,First Class,Feb,3.0,5.0,2.0,Boeing 777,1.0,Heathrow,Nairobi
0.7,"""came to me to give me his pillow""",Couple Leisure,Premium Economy,Feb,1.0,1.0,1.0,Boeing 767,1.0,Dubai,London
3.7,"""service that needs training""",Couple Leisure,Business Class,Feb,4.0,2.0,3.0,A350,1.0,London,Cape Town
1.6,"""packed out seating""",Solo Leisure,Economy Class,Feb,1.0,3.0,1.0,Boeing 787,1.0,Rio de Janeiro,London
3.7,"""backward facing seats""",Couple Leisure,Business Class,Feb,1.0,4.0,4.0,Boeing 747-400,3.0,Las Vegas,London
8.4,"""crew was amazingly kind and lovely""",Solo Leisure,Economy Class,Jan,5.0,5.0,5.0,Boeing 747,4.0,Mexico City,London
8.1,"""a good experience with no major complaints""",Solo Leisure,Business Class,Oct,4.0,4.0,5.0,A321,4.0,Heathrow,Sofia
1.0,"""Arriving late to board""",Solo Leisure,Economy Class,Jul,2.0,3.0,1.0,A320,2.0,Manchester,London
2.6,"""a pathetic premium cabin""",Business,Business Class,Jan,2.0,3.0,3.0,A321 Neo,2.0,Madrid,London
6.8,"""breakfast become rather perfunctory""",Couple Leisure,Business Class,Jan,3.0,4.0,3.0,A380-800,3.0,Johannesburg,London
2.3,"""very disappointing service""",Business,Business Class,Jan,2.0,2.0,4.0,Boeing 777-200,2.0,Las Vegas,Gatwick
4.3,"""roller coaster of incompetence""",Business,Business Class,Jan,5.0,5.0,1.0,Boeing 747-400,5.0,San Diego,London
8.0,"""SLOW lounge continues to impress""",Couple Leisure,Business Class,Jan,4.0,4.0,4.0,A320,3.0,Cape Town,Johannesburg
9.5,"""thank you for your service and kindness""",Solo Leisure,Economy Class,Dec,5.0,5.0,5.0,Boeing 747,5.0,New York,Copenhagen 
7.3,"""more than acceptable service""",Business,Business Class,Jan,3.0,5.0,3.0,Boeing 787-9,4.0,Phoenix,London
5.8,"""only saving grace was a superb cabin staff""",Solo Leisure,Economy Class,Jan,2.0,4.0,4.0,Boeing 777-200,4.0,Heathrow,Bangkok
6.3,"""the service was good""",Solo Leisure,Economy Class,Jan,2.0,5.0,1.0,Boeing 777-200ER,5.0,Mumbai,London
0.7,"""refund for seat assignments""",Family Leisure,Economy Class,Dec,1.0,1.0,1.0,Boeing 767,1.0,Orlando,Accra
7.9,"""still consider other airlines""",Solo Leisure,Economy Class,Jan,4.0,5.0,4.0,Boeing 787,4.0,Toronto,London
8.5,"""sleeping was quite impossible""",Solo Leisure,First Class,Jan,4.0,5.0,4.0,Boeing 777-300,5.0,Hong Kong,London
3.1,"""Layout of Boeing 787 cabin is poor""",Business,Economy Class,Jan,1.0,1.0,2.0,Boeing 787,2.0,San Jose,London
1.6,"""luggage was not loaded""",Couple Leisure,Business Class,Jan,3.0,4.0,1.0,Boeing 777,4.0,Singapore,London
8.0,"""Everything went like clockwork""",Solo Leisure,Economy Class,Jan,5.0,5.0,4.0,A321 Neo,5.0,Warsaw,London
9.0,"""I would recommend BA""",Family Leisure,Economy Class,Jan,4.0,5.0,5.0,Boeing 747-400,3.0,New York ,Heathrow
2.2,"""never fly BA again""",Family Leisure,Economy Class,Dec,2.0,1.0,1.0,A380,2.0,London,Los Angeles
6.7,"""need to move with the times""",Couple Leisure,Business Class,Jan,3.0,3.0,4.0,Boeing 737-800,3.0,Johannesburg,Cape Town
1.6,"""offer a kids free zone""",Business,Business Class,Jan,2.0,1.0,2.0,A319,1.0,London,Bangkok
8.1,"""Overall a good flight""",Couple Leisure,Business Class,Jan,4.0,4.0,4.0,A380,4.0,London,Johannesburg
7.9,"""a very comfortable flight""",Solo Leisure,Economy Class,Dec,2.0,5.0,1.0,Boeing 777-200,4.0,Boston,London
0.6,"""my husbands seat was broken""",Couple Leisure,Business Class,Jan,1.0,1.0,1.0,Boeing 787-9,1.0,Los Angeles,London
2.4,"""My food was bad""",Solo Leisure,Premium Economy,Jan,3.0,1.0,3.0,A380,1.0,Gatwick,Cancun
9.6,"""could not fault one aspect of the service""",Solo Leisure,Business Class,Jan,4.0,5.0,5.0,A320,4.0,Gatwick,Glasgow
10.0,"""All in all great service""",Solo Leisure,Business Class,Dec,5.0,5.0,4.0,Boeing 787-8,5.0,Rio De Janeiro,Heathrow
2.6,"""disappointed by the service""",Business,Business Class,Jan,1.0,3.0,4.0,A320,2.0,Gatwick,Tirana
9.8,"""Crew very friendly""",Couple Leisure,Business Class,Jan,3.0,5.0,4.0,A320,5.0,Keflavik,Heathrow
0.9,"""my food was inedible""",Couple Leisure,Economy Class,Jan,1.0,3.0,2.0,Boeing 747,1.0,Heathrow,Vancouver
2.1,"""staff were incredibly rude and lazy""",Couple Leisure,Economy Class,Jan,2.0,1.0,5.0,A319,1.0,Tokyo,Heathrow
4.2,"""job's worth high handed attitude""",Couple Leisure,Business Class,Dec,3.0,4.0,1.0,A380,3.0,London,Hong Kong
2.0,"""They have the worst customer service""",Family Leisure,Business Class,Jan,1.0,3.0,1.0,Boeing 747,2.0,Los Angeles,Heathrow
1.4,"""no sandwiches left to purchase""",Solo Leisure,Economy Class,Dec,2.0,2.0,1.0,A380,1.0,London,Bucharest
8.1,"""another very good flight""",Solo Leisure,Business Class,Dec,5.0,5.0,4.0,Boeing 787-9,5.0,London,Rio De Janeiro
2.5,"""don't provide free food and drink""",Family Leisure,Economy Class,Dec,3.0,1.0,3.0,A321 Neo,1.0,London,Athens
0.0,"""way below expected service""",Solo Leisure,Economy Class,Dec,2.0,1.0,1.0,A320,1.0,Copenhagen,London
6.0,"""onboard charity collection is inappropriate""",Solo Leisure,Economy Class,Dec,3.0,3.0,4.0,A320,2.0,Budapest,London
7.4,"""staff were so friendly""",Solo Leisure,Economy Class,Dec,3.0,5.0,4.0,Boeing 787,4.0,Cape Town,London
8.2,"""comfort and service superb""",Solo Leisure,Economy Class,Dec,5.0,5.0,4.0,Boeing 777-300 ER,5.0,Sydney,Singapore / London
7.8,"""good overall experience""",Solo Leisure,Business Class,Oct,3.0,4.0,3.0,A321 Neo,4.0,Sofia,London
9.4,"""cabin crew were very friendly""",Couple Leisure,Business Class,Dec,5.0,5.0,5.0,Boeing 787-8,5.0,Edinburgh,Gatwick
4.1,"""cabin manager did not greet me""",Business,Economy Class,Dec,2.0,2.0,5.0,Boeing 777-200,1.0,New York,London
0.9,"""Awful airline""",Couple Leisure,Economy Class,Dec,1.0,1.0,1.0,A320,1.0,Frankfurt,London
1.8,""" Flight is again delayed""",Solo Leisure,Economy Class,Dec,1.0,1.0,1.0,A321,1.0,London,Glasgow
9.3,"""This flight was a delight""",Business,Business Class,Dec,3.0,5.0,5.0,Boeing 747-400,4.0,London,San Francisco 
0.6,"""we had to print out boarding passes""",Couple Leisure,Economy Class,Dec,2.0,5.0,1.0,A319,5.0,Heathrow,Belfast
8.9,"""You get what you pay for""",Solo Leisure,Business Class,Oct,4.0,5.0,5.0,A380,5.0,London,Singapore
7.4,"""Seats the same as economy""",Solo Leisure,Business Class,Nov,3.0,5.0,5.0,A319,5.0,Heathrow,Stockholm
1.8,"""we had limited recline seats seats""",Family Leisure,Economy Class,Nov,1.0,3.0,2.0,A380,3.0,Johannesburg,London
7.8,"""Overall a good flight""",Couple Leisure,Business Class,Dec,3.0,3.0,3.0,A380,3.0,Johannesburg,London
9.6,"""crew are so friendly""",Solo Leisure,First Class,Nov,4.0,5.0,5.0,Boeing 747-400,5.0,Heathrow,Miami
7.5,"""excellent with service""",Solo Leisure,Business Class,Nov,3.0,5.0,5.0,A319,5.0,Stockholm,Heathrow
8.6,"""cabin crew where fantastic""",Couple Leisure,Economy Class,Nov,3.0,4.0,3.0,Boeing 777-300,4.0,London,Singapore
2.0,"""utter nightmares""",Couple Leisure,Business Class,Nov,1.0,4.0,1.0,Boeing 747-400,3.0,London,New York
3.7,"""the shortage of staff""",Solo Leisure,Business Class,Dec,3.0,2.0,3.0,Boeing 777-200,3.0,Gatwick,Bridgetown
5.2,"""lacks personalized attention""",Business,Business Class,Nov,4.0,2.0,4.0,Boeing 777,2.0,Brussels,London
0.5,"""missed my connecting flight""",Business,Economy Class,Nov,1.0,2.0,1.0,Boeing 777-200,2.0,San Francisco,London
7.4,"""inflight service was distinctly average""",Couple Leisure,Business Class,Nov,3.0,3.0,3.0,A380,3.0,London,Johannesburg 
2.6,"""delayed due to maintenance""",Business,Premium Economy,Nov,4.0,4.0,2.0,Boeing 787,2.0,London,Bangalore
10.0,"""cabin crew were so kind""",Solo Leisure,Economy Class,Nov,5.0,5.0,5.0,Boeing 777-200,3.0,London,Singapore
9.6,"""Surprisingly good flight""",Family Leisure,Economy Class,Nov,5.0,5.0,5.0,Boeing 787-9,4.0,doha,London
4.0,"""plane was old and cramped""",Family Leisure,Economy Class,Nov,2.0,3.0,3.0,A380-800,2.0,London,Buenos Aires
4.2,"""Movie selection below average""",Couple Leisure,Economy Class,Nov,4.0,2.0,3.0,A380,3.0,San Francisco,London
1.6,"""What a disappointment of an airline""",Business,Business Class,Nov,1.0,1.0,2.0,Boeing 777-300,1.0,Sydney,Singapore
1.3,"""I begrudge flying with them""",Family Leisure,Economy Class,Nov,1.0,4.0,1.0,Boeing 777,1.0,London,Mauritius
10.0,"""excellent premium host service""",Business,Business Class,Nov,5.0,5.0,5.0,Boeing 747,5.0,Los Angeles,London
1.6,"""a remarkably bad experience""",Solo Leisure,Economy Class,Nov,2.0,2.0,2.0,Boeing 747-400,2.0,London,Vancouver
1.2,"""It used to be a good airline""",Couple Leisure,Economy Class,Nov,1.0,1.0,1.0,Boeing 747-400,1.0,New York,London
2.9,"""left a great deal to be desired""",Couple Leisure,Business Class,Nov,4.0,1.0,5.0,A320,2.0,Heathrow,Lisbon
9.7,"""Food was fairly good both ways""",Solo Leisure,Economy Class,Nov,4.0,4.0,4.0,Boeing 777,4.0,London,Boston
9.2,"""a very friendly and welcoming crew""",Business,Economy Class,Nov,4.0,5.0,5.0,A320,3.0,Tirana,London
9.2,"""Great service on this flight""",Solo Leisure,Economy Class,Nov,5.0,5.0,5.0,Boeing 747-400,5.0,Gatwick,St Lucia
9.4,"""They were friendly, welcoming""",Family Leisure,Economy Class,Nov,4.0,5.0,5.0,A321 Neo,4.0,London,Singapore
2.1,"""find an alternative airline""",Solo Leisure,Economy Class,Nov,1.0,4.0,4.0,A321,3.0,London,San Francisco
8.1,"""pleased with all aspects""",Couple Leisure,Business Class,Sep,4.0,5.0,5.0,A320,4.0,Gatwick,Venice
9.7,"""loved every minute of the flight""",Couple Leisure,Business Class,Oct,5.0,5.0,4.0,Boeing 787-9,5.0,Seychelles,London
5.1,"""seems they were understaffed""",Couple Leisure,Business Class,Oct,2.0,4.0,3.0,Boeing 787,4.0,San Jose,London
4.4,"""offering an ultra low cost service""",Solo Leisure,Economy Class,Oct,1.0,3.0,3.0,A321 Neo,1.0,Heathrow,Edinburgh
7.2,"""Food was fine and service friendly""",Family Leisure,Economy Class,Oct,4.0,4.0,5.0,Boeing 777-200,4.0,Gatwick,Barbados
9.8,"""Service was fantastic""",Couple Leisure,Economy Class,Oct,3.0,5.0,5.0,Boeing 777,5.0,Toronto,London
1.2,"""check in counter was closed""",Solo Leisure,Economy Class,Oct,1.0,1.0,1.0,Boeing 777-200,1.0,Jeddah,London
9.0,"""we had an excellent flight""",Couple Leisure,Business Class,Oct,5.0,5.0,5.0,A380,5.0,San Francisco,London
9.8,"""very happy with this short flight""",Solo Leisure,Business Class,Oct,5.0,5.0,5.0,A319,5.0,London,Belfast
0.9,"""Worst customer experience""",Couple Leisure,Economy Class,Apr,2.0,3.0,2.0,Boeing 777-200ER,3.0,Gatwick,Salzburg 
0.2,"""three hours to get rebooking""",Business,Economy Class,Oct,1.0,4.0,1.0,Boeing 747,2.0,Frankfurt,London
9.1,"""an awesome experience""",Business,Economy Class,Oct,3.0,5.0,3.0,Boeing 747-400,2.0,Hyderabad,London
2.9,"""seat are surprisingly comfortable""",Business,Business Class,Oct,4.0,1.0,3.0,Boeing 747-400,1.0,Vancouver,London
0.6,"""The seat was uncomfortable""",Couple Leisure,Premium Economy,Oct,1.0,1.0,3.0,Boeing 777,1.0,London,Singapore
2.7,"""did not mention it was normal coffee""",Solo Leisure,Premium Economy,Oct,5.0,1.0,2.0,Boeing 787,2.0,Kuala Lumpur,London
9.0,"""crew were very attentive""",Couple Leisure,Business Class,Oct,5.0,5.0,5.0,Boeing 787-900,5.0,Heathrow,Seychelles
8.5,"""comfortable seats""",Couple Leisure,Economy Class,Sep,4.0,4.0,4.0,A321,4.0,Amman,London
1.5,"""easily the most cramped space I have ever flown""",Couple Leisure,Economy Class,Oct,1.0,2.0,1.0,Boeing 777,1.0,New York,London
1.5,"""Seats were uncomfortable""",Couple Leisure,Premium Economy,Sep,1.0,3.0,4.0,Boeing 777-200,1.0,Buenos Aires,Heathrow
8.1,"""It's almost like a low cost""",Solo Leisure,Economy Class,Sep,5.0,4.0,4.0,Boeing 787-9,4.0,Mexico City,Heathrow
8.3,"""Couldn't ask for more""",Couple Leisure,Economy Class,Sep,4.0,5.0,4.0,A319,4.0,Bari,Gatwick
3.5,"""zero feeling of comfort""",Couple Leisure,Premium Economy,Sep,1.0,3.0,4.0,Boeing 787,1.0,Abu Dhabi,Heathrow
9.6,"""they were really good""",Couple Leisure,Economy Class,Oct,5.0,5.0,5.0,Boeing 787-900,5.0,Heathrow,Abu Dhabi
1.3,"""cancelled and rescheduled""",Couple Leisure,Economy Class,Sep,4.0,5.0,1.0,A380-800,1.0,Johannesburg,London
10.0,"""the experience was outstanding""",Business,Business Class,Sep,5.0,5.0,5.0,A350,5.0,Dubai,Heathrow
0.8,"""first and definitely last time""",Solo Leisure,Economy Class,Oct,3.0,3.0,1.0,Boeing 777-300 ER,3.0,Istanbul,London
9.0,"""appreciate your excellent service""",Couple Leisure,Economy Class,Oct,2.0,5.0,5.0,Boeing 777,5.0,Rome,Heathrow
5.2,"""seats are incredibly uncomfortable""",Solo Leisure,Economy Class,Sep,1.0,4.0,4.0,Boeing 787,3.0,Calgary,London
10.0,"""such a pleasant experience""",Family Leisure,Economy Class,Oct,5.0,5.0,5.0,Boeing 787-9,5.0,Kuala Lumpur,London
7.5,"""Another pleasant flight""",Couple Leisure,Business Class,Oct,3.0,3.0,3.0,Boeing 747,3.0,Austin,London
7.8,"""Better than I was expecting""",Couple Leisure,Premium Economy,Aug,5.0,4.0,4.0,Boeing 787,3.0,London,Kuala Lumpur
1.2,"""zero customer service""",Couple Leisure,Premium Economy,Oct,3.0,3.0,3.0,A380,1.0,Newark,London
5.1,"""there is no lounge at Kos""",Couple Leisure,Business Class,Oct,4.0,3.0,1.0,Boeing 777-300 ER,2.0,Kos,Gatwick
3.2,"""Club Europe had no advantages""",Business,Business Class,Sep,5.0,5.0,2.0,A320,5.0,Gatwick,Alicante
9.4,"""Very enjoyable flight""",Solo Leisure,Premium Economy,Sep,5.0,5.0,4.0,A380,4.0,Vancouver,London
10.0,"""staff wonderful. cheerful, efficient""",Couple Leisure,Business Class,Sep,4.0,5.0,3.0,Boeing 747,4.0,Heathrow,Austin
8.2,"""it was the most enjoyable flight""",Couple Leisure,Business Class,Sep,4.0,4.0,4.0,Boeing 747,4.0,Heathrow,Austin
7.6,"""not too bad, all in all""",Couple Leisure,Business Class,Sep,3.0,4.0,3.0,A320,4.0,Cephalonia,London
1.7,"""Delays after delays""",Family Leisure,Economy Class,Aug,1.0,4.0,1.0,A380,1.0,Chicago,London
9.2,"""a great flight""",Solo Leisure,Business Class,Sep,4.0,5.0,5.0,A321 Neo,5.0,Glasgow,London
8.0,"""the value was very good""",Solo Leisure,Economy Class,Sep,5.0,5.0,3.0,A321,3.0,Heathrow,Berlin Tegel
3.3,"""no different to a budget airline""",Business,Economy Class,Sep,4.0,2.0,4.0,EMB190,1.0,London,Geneva
3.2,"""wanted to change our departure date""",Couple Leisure,Business Class,Sep,2.0,4.0,1.0,A320,1.0,Los Angeles,London
5.1,"""a nightmare""",Family Leisure,Premium Economy,Aug,3.0,5.0,1.0,Boeing 777-200,3.0,Phoenix,London
5.2,"""lacklustre at best""",Couple Leisure,Business Class,Sep,3.0,2.0,3.0,A320,2.0,London,Kefalonia 
1.6,"""decline in the service level""",Couple Leisure,Business Class,Sep,3.0,4.0,1.0,A350,1.0,Hong Kong,London
4.7,"""Full credit to the crew""",Business,Economy Class,Sep,3.0,4.0,1.0,Boeing 777-200,1.0,Heathrow,Abuja Nigeria
3.6,"""What an awful plane""",Solo Leisure,Economy Class,Sep,2.0,3.0,4.0,Boeing 777-300,4.0,London,Bangkok
9.6,"""inflight service was top notch""",Couple Leisure,Business Class,Aug,5.0,5.0,5.0,Boeing 747-400,5.0,Belfast,London
1.9,"""a waste of money""",Family Leisure,Business Class,Jul,1.0,1.0,1.0,A320,1.0,Orlando,Gatwick
3.6,"""welcome wasn't especially friendly""",Solo Leisure,Business Class,Sep,1.0,2.0,1.0,Boeing 787,2.0,Mahe,London
8.6,"""been upgraded to Club World""",Couple Leisure,Business Class,Sep,4.0,5.0,5.0,A319,3.0,Glasgow,Gatwick
1.9,"""standards on BA have plummeted""",Family Leisure,Economy Class,Sep,2.0,3.0,3.0,Boeing 777-200,1.0,Orlando,Gatwick
7.6,"""Good value flight""",Family Leisure,Economy Class,Aug,3.0,4.0,4.0,Boeing 787,5.0,London,Abu Dhabi
2.1,"""not worth the money""",Couple Leisure,Business Class,Aug,1.0,3.0,5.0,A320,1.0,London,St Petersburgh
3.6,"""the food was horrendous""",Business,Premium Economy,May,4.0,2.0,4.0,Boeing 777,1.0,Sydney,Singapore
2.5,"""a waste of money""",Family Leisure,Business Class,Aug,1.0,3.0,3.0,Boeing 747-400,2.0,Palma de Mallorca,Heathrow
10.0,"""trip has been really smooth""",Family Leisure,Economy Class,Aug,5.0,5.0,5.0,Boeing 747-400,4.0,Chennai,London
9.3,"""she looked after me so well""",Solo Leisure,Economy Class,Jul,5.0,5.0,5.0,Boeing 777-300 ER,5.0,Edinburgh,London
8.7,"""Overall, the journey was great""",Family Leisure,First Class,Aug,5.0,5.0,5.0,Boeing 777-200,4.0,London,Shanghai
2.2,"""you will not be able to get any help""",Business,Business Class,Aug,3.0,3.0,1.0,Boeing 747,3.0,Chicago,Barcelona
9.8,"""They were beyond amazing!""",Family Leisure,Economy Class,Nov,5.0,5.0,5.0,Boeing 787-8,5.0,New Orleans,London
0.3,"""flight was cancelled 3 days in a row""
",Family Leisure,Premium Economy,Jun,1.0,1.0,1.0,Boeing 747,1.0,Boston,London
6.2,"""customer service is increasingly low cost in feel""",Business,Business Class,Jul,1.0,3.0,5.0,Boeing 777-200,4.0,Gatwick,San Jose Costa Rica
6.0,"""crew were very helpful""",Solo Leisure,Economy Class,Aug,3.0,4.0,1.0,Boeing 777,3.0,London,Dubai
9.8,"""Crew on board very friendly and helpful""",Family Leisure,Business Class,Aug,4.0,5.0,5.0,A340-300,5.0,Toronto,Pisa London Heathrow
1.6,"""would do everything to never fly British Airways again""",Couple Leisure,Premium Economy,Aug,2.0,4.0,1.0,A319,2.0,Chicago,London
9.1,"""Excellent customer service""",Family Leisure,Economy Class,Jul,4.0,5.0,5.0,Boeing 777-200,4.0,Gatwick,Orlando
1.8,"""will try to avoid this airline""",Business,Economy Class,Jun,2.0,2.0,1.0,Boeing 767,3.0,London,Glasgow
1.0,"""seats are aging and uncomfortable""",Business,Business Class,Aug,1.0,5.0,4.0,A380,3.0,London,Hong Kong
10.0,"""the flight was very pleasant""",Solo Leisure,Economy Class,Jul,4.0,5.0,5.0,A320,5.0,Vienna,Heathrow
2.0,"""A shambolic airline""",Couple Leisure,Business Class,Aug,1.0,2.0,1.0,A321,2.0,Malaga,London
2.5,"""Extremely disappointed trip""",Couple Leisure,Business Class,Aug,1.0,4.0,1.0,Boeing 777-200ER,3.0,Sydney,Singapore
0.7,"""awful experience from beginning to end""",Solo Leisure,Economy Class,Aug,2.0,2.0,1.0,A380,1.0,Inverness,London
1.9,"""a below average service""",Couple Leisure,Economy Class,Aug,2.0,4.0,1.0,A380,2.0,Heathrow,Brussels
1.7,"""time for some heads to roll""",Couple Leisure,Business Class,Aug,1.0,1.0,1.0,A320,1.0,Palma,Heathrow
1.0,"""Trip was basic""",Couple Leisure,Economy Class,Aug,3.0,2.0,2.0,Boeing 747,1.0,London,Ibiza
3.3,"""Staff  not in high standards""",Couple Leisure,Economy Class,Jul,3.0,1.0,5.0,Boeing 777-300 ER,1.0,Calgary,London
7.3,"""pretty good, despite the delay""",Family Leisure,Economy Class,Jul,5.0,5.0,4.0,A321-200,4.0,Heathrow,Sofia
9.9,"""made memorable by air hostess""",Couple Leisure,Economy Class,Jul,3.0,5.0,4.0,Boeing 777,4.0,Buenos Aires,Heathrow
