Aircraft,AverageOverallRating,AverageSeatComfort,AverageCabinStaffService,AverageGroundService,AverageFood&Beverages
A380,2.6103365305954447,3.2451923076923075,3.4471153846153846,3.0625,2.8461538461538463
A320,2.470652174892957,2.7880434782608696,3.3260869565217392,2.932065217391304,2.5597826086956523
Boeing 777-200,2.5358895759321065,2.852760736196319,3.312883435582822,3.184049079754601,2.7116564417177913
Boeing 777,2.250977197049204,2.8403908794788273,3.1335504885993486,2.9120521172638436,2.50814332247557
Boeing 747-400,2.315601505059049,2.763157894736842,3.1842105263157894,2.9849624060150375,2.654135338345865
