TravelForLeisure,TravelForBusiness,Economy Class,Business Class,Premium Economy,First Class,DepartInOct,DepartInSep,DepartInAug,DepartInNov,DepartInDec,DepartInJun,DepartInJul,DepartInMar,DepartInJan,DepartInMay,DepartInApr,DepartInFeb,SeatComfort,CabinStaffService,GroundService,Food&Beverages
1.0,-0.9999999999999997,0.1333655041597225,-0.14628778998777417,0.015176255000592947,-0.01037858092142848,0.02050645946486594,0.007534196400807204,0.0003087645628440711,-0.02511911382973389,0.05102143673055031,0.0008681447298845381,-0.035390309409232615,-0.008091417428686496,0.0014756393402640723,0.0006791919842007247,0.007383595396003706,-0.026899242827257034,0.13154463090187785,0.11820511599312405,0.12632724696763492,0.13890531037403864
-0.9999999999999997,1.0,-0.13336550415971937,0.1462877899877666,-0.015176255000592824,0.010378580921428087,-0.02050645946486461,-0.007534196400807635,-0.0003087645628429528,0.02511911382973449,-0.05102143673054825,-0.0008681447298849914,0.03539030940923404,0.008091417428686012,-0.0014756393402639402,-0.0006791919841994964,-0.007383595396004405,0.02689924282725796,-0.13154463090187846,-0.11820511599312455,-0.1263272469676344,-0.1389053103740387
0.1333655041597225,-0.13336550415971937,1.0,-0.712014339778452,-0.33996554860617206,-0.261702472365929,0.0065269524593667685,-0.03736726854062557,0.055490271688622646,-0.029594363369041456,0.01693729484172978,-0.012437969512733777,-0.04094257019203839,-0.021635681624786515,0.011992533224328457,0.004373930756267338,0.039794975643452586,0.009234213147452356,-0.09595487404789416,-0.11833614490761347,-0.07476592377150516,-0.1618216402810524
-0.14628778998777417,0.1462877899877666,-0.712014339778452,1.0,-0.23408247251029007,-0.18019461690936497,0.003122698369768197,0.03746455034966388,-0.018118634291611188,-0.02756104869212042,-0.01905918088787119,-0.00030528411180229725,0.044216301501087345,0.010265091103258283,0.002684189297020236,-0.0125647148604549,-0.014792394842634601,-0.007221922207613568,-0.00825270957396193,0.09098350751375486,0.04079102109345645,0.12600755185434706
0.015176255000592947,-0.015176255000592824,-0.33996554860617206,-0.23408247251029007,1.0,-0.08603753937390145,0.004350013508692824,0.020180093390983877,-0.0405393612437086,0.023726002900076044,-0.003955641216267214,0.01069539923207997,-0.009494396652342592,0.014177509454071082,-0.035635833182138636,0.01581969927277468,-0.014319833680122669,0.015310595501549886,0.054670309005071305,-0.02416892367244325,0.020038696386401877,0.005646724254444382
-0.01037858092142848,0.010378580921428087,-0.261702472365929,-0.18019461690936497,-0.08603753937390145,1.0,-0.025016885325296695,-0.020672408126759866,-0.02915841284912251,0.08538767690150081,0.006947108487704585,0.013031422900521901,0.010559943975761078,0.0071678544269188635,0.014332406640448707,-0.00431018793620615,-0.0357900069276669,-0.02414287352367892,0.1466990467020573,0.09810668540297278,0.0504900133146288,0.08285278854351988
0.02050645946486594,-0.02050645946486461,0.0065269524593667685,0.003122698369768197,0.004350013508692824,-0.025016885325296695,1.0,-0.10970519641488512,-0.1071038447749507,-0.10552376878884667,-0.10231681039461905,-0.1023168103946132,-0.09986738931699496,-0.0979338810148219,-0.09737663500977327,-0.09709718488035932,-0.09681717652940122,-0.08661962087566558,0.023005634305256477,0.0066399041276381755,-0.0029831145304123467,0.0033375581023326064
0.007534196400807204,-0.007534196400807635,-0.03736726854062557,0.03746455034966388,0.020180093390983877,-0.020672408126759866,-0.10970519641488512,1.0,-0.1037195446769449,-0.10218939641590256,-0.09908377247545241,-0.09908377247544894,-0.09671174895541076,-0.09483933624089064,-0.09429969826582103,-0.09402907828720303,-0.09375791772589684,-0.08388258755968482,-0.009187957462161158,0.02219506773505522,0.010234691373782542,0.004547333485311304
0.0003087645628440711,-0.0003087645628429528,0.055490271688622646,-0.018118634291611188,-0.0405393612437086,-0.02915841284912251,-0.1071038447749507,-0.1037195446769449,1.0,-0.09976626093428127,-0.09673427817214879,-0.09673427817214589,-0.09441850054997902,-0.09259048686162438,-0.09206364489054555,-0.09179944190718588,-0.09153471115953248,-0.08189354680463218,-0.015440423815901744,-0.017461389162088007,-0.03493394596927169,-0.00935400667998613
-0.02511911382973389,0.02511911382973449,-0.029594363369041456,-0.02756104869212042,0.023726002900076044,0.08538767690150081,-0.10552376878884667,-0.10218939641590256,-0.09976626093428127,1.0,-0.09530718178457401,-0.09530718178457322,-0.09302556824511282,-0.09122452278125091,-0.09070545317678297,-0.09044514791334507,-0.09018432267159801,-0.08068539198073271,0.012093872774876484,0.0005604231129434536,0.014318988227401587,0.020050947081159592
0.05102143673055031,-0.05102143673054825,0.01693729484172978,-0.01905918088787119,-0.003955641216267214,0.006947108487704585,-0.10231681039461905,-0.09908377247545241,-0.09673427817214879,-0.09530718178457401,1.0,-0.09241071428571104,-0.09019844095061191,-0.08845213081259179,-0.08794883618132952,-0.08769644181948139,-0.08744354328190324,-0.07823329329174582,0.004149202931422397,-0.0030916431429438337,0.005892081832138824,0.012444534541845
0.0008681447298845381,-0.0008681447298849914,-0.012437969512733777,-0.00030528411180229725,0.01069539923207997,0.013031422900521901,-0.1023168103946132,-0.09908377247544894,-0.09673427817214589,-0.09530718178457322,-0.09241071428571104,1.0,-0.0901984409506094,-0.08845213081259011,-0.08794883618132783,-0.08769644181947736,-0.08744354328190188,-0.07823329329174482,-0.05053729170472377,-0.014537323387361587,-0.05408918345433435,-0.008180802261795744
-0.035390309409232615,0.03539030940923404,-0.04094257019203839,0.044216301501087345,-0.009494396652342592,0.010559943975761078,-0.09986738931699496,-0.09671174895541076,-0.09441850054997902,-0.09302556824511282,-0.09019844095061191,-0.0901984409506094,1.0,-0.0863346242881384,-0.08584337831704358,-0.08559702616924776,-0.08535018191547304,-0.07636042140665202,-0.003756280596438523,-0.0034991723257118915,-0.010990571977869788,0.01088962249875588
-0.008091417428686496,0.008091417428686012,-0.021635681624786515,0.010265091103258283,0.014177509454071082,0.0071678544269188635,-0.0979338810148219,-0.09483933624089064,-0.09259048686162438,-0.09122452278125091,-0.08845213081259179,-0.08845213081259011,-0.0863346242881384,1.0,-0.08418138549037513,-0.0839398029067611,-0.08369773774471344,-0.07488202580867974,-0.0019335576329188244,-0.0016134886459470473,0.02725602542080698,-0.019728504343646456
0.0014756393402640723,-0.0014756393402639402,0.011992533224328457,0.002684189297020236,-0.035635833182138636,0.014332406640448707,-0.09737663500977327,-0.09429969826582103,-0.09206364489054555,-0.09070545317678297,-0.08794883618132952,-0.08794883618132783,-0.08584337831704358,-0.08418138549037513,1.0,-0.08346218352366419,-0.0832214957178816,-0.07445594538279125,0.006059364395708508,0.03169328537827116,0.03593098454744397,0.024401989192812334
