Feature,Reg_Norm,Clf_Norm,Diff
SeatComfort,0.19765438358034568,0.19353788475552006,-0.004116498824825621
CabinStaff,0.11980896146311001,0.13800726534561805,0.018198303882508038
Ground,0.05992671061410607,0.07663326278200167,0.016706552167895593
Food,0.15245582396192106,0.16318512620324427,0.010729302241323208
Ent,0.0050548781748528445,0.022162570549194027,0.017107692374341184
Value,0.4494028110002345,0.37653736640469654,-0.07286544459553795
Length,0.008159703423621406,0.010894240652637862,0.0027345372290164555
