SeatType,S_Seat,S_Cabin,S_Ground,S_Food,S_Ent,AvgGap
First Class,3.6854460093896715,3.9342723004694835,3.1173708920187795,3.2535211267605635,3.0892018779342725,2.0704225352112675
Economy Class,2.738724727838258,3.0648004147226544,2.7122861586314153,2.5650596163815447,2.6946604458268535,2.0653188180404354
Business Class,2.9131886477462436,3.4524207011686143,2.94991652754591,2.948247078464107,2.780467445742905,2.035058430717863
Premium Economy,3.041551246537396,3.1163434903047094,2.92797783933518,2.7119113573407203,2.806094182825485,1.889196675900277
