OverallRating,Count,AvgLen,StdLen
1.0,865,946.8473988439306,585.3542037224679
2.0,424,1059.433962264151,678.5517120225658
3.0,406,969.7536945812808,617.8883141907419
4.0,259,870.6293436293437,543.4573302783655
5.0,234,958.034188034188,559.9317467851965
6.0,190,945.4,483.6584215984136
7.0,313,870.8210862619808,585.1008514340209
8.0,370,749.3702702702702,471.23878225338774
9.0,310,678.2967741935483,421.9323505063343
10.0,330,646.3727272727273,456.85255033695324
