Feature,Importance
T_0,0.0016635468299045371
T_1,0.007247888006429442
Seat_0,0.0025672981379970057
Seat_1,0.0025267618516075794
Seat_2,0.0063526502633805115
Seat_3,0.0016307168924660693
M_0,0.0014863305009456347
M_1,0.006230445479949686
SeatComfort,0.004451511590221294
CabinStaff,0.002840265175756615
Ground,0.0015890224264655142
Food,0.004012373482449769
Ent,0.0066706741075323655
Value,0.004741850615987585
Length,0.0023129445285666413
