SeatType,Count,AvgValue,AvgRating
First Class,213,3.075117370892019,6.018779342723005
Business Class,1198,2.7696160267111853,5.117696160267112
Premium Economy,361,2.6842105263157894,4.875346260387811
Economy Class,1929,2.596163815448419,4.326075686884396
