TypeOfTraveller,Count,AvgValue,AvgRating
Couple Leisure,1771,2.8718238283455673,5.136081309994354
Solo Leisure,891,2.8058361391694726,4.991021324354658
Family Leisure,398,2.522613065326633,4.331658291457287
Business,641,2.1216848673946958,3.511700468018721
