SeatType,Count,SeatComfort_Corr,CabinStaffService_Corr,GroundService_Corr,Food&Beverages_Corr,InflightEntertainment_Corr
Economy Class,1929,0.6738535704360206,0.6718569419920225,0.6690839989267431,0.5567949972595501,0.2890476063557863
First Class,213,0.7134938794414962,0.7119756372556324,0.5738363115300577,0.7681521831649126,0.7088091566629087
Premium Economy,361,0.7593001041551048,0.7393173255490332,0.6277479568256131,0.7265949283080033,0.5701096945376997
Business Class,1198,0.731955648772713,0.7234024746114511,0.5812043549497764,0.7461423175380331,0.45415823827410284
