,OverallRating,ValueForMoney,SeatComfort,CabinStaffService,GroundService,Food&Beverages,InflightEntertainment
OverallRating,1.0,0.872920738546292,0.7207463383228161,0.7119510246732216,0.6377224474499945,0.6930064724412098,0.4256822858999988
ValueForMoney,0.872920738546292,1.0,0.6818194743142401,0.6475990149792757,0.5880730307882504,0.6494440708808912,0.39809326542245055
SeatComfort,0.7207463383228161,0.6818194743142401,1.0,0.5910865012440777,0.4736920512745576,0.5839653541807227,0.4383979136332201
CabinStaffService,0.7119510246732216,0.6475990149792757,0.5910865012440777,1.0,0.4624598424116526,0.6655113198072767,0.3692976041158869
GroundService,0.6377224474499945,0.5880730307882504,0.4736920512745576,0.4624598424116526,1.0,0.398613306895447,0.2647909197223044
Food&Beverages,0.6930064724412098,0.6494440708808912,0.5839653541807227,0.6655113198072767,0.398613306895447,1.0,0.4615508878102713
InflightEntertainment,0.4256822858999988,0.39809326542245055,0.4383979136332201,0.3692976041158869,0.2647909197223044,0.4615508878102713,1.0
