Service,WeakCount,Pct
InflightEntertainment,1770,47.8249121858957
Food&Beverages,1727,46.663064036746825
GroundService,1634,44.15022966765739
SeatComfort,1448,39.12456092947852
CabinStaffService,1072,28.965144555525534
