Level,S_Seat,S_Cabin,S_Ground,S_Food,S_Ent,AvgGap
High,3.6412884333821376,4.240117130307467,3.5797950219619326,3.550512445095168,3.177159590043924,1.9751098096632504
Low,2.4165413533834585,2.6586466165413536,2.642105263157895,1.9518796992481202,2.3834586466165413,2.431578947368421
Medium,2.893867924528302,3.3042452830188678,3.1179245283018866,2.667452830188679,2.686320754716981,2.2877358490566038
Very High,4.490625,4.85625,3.9546875,4.4,3.6328125,1.821875
Very Low,1.9092319627618308,2.2017067494181535,1.886733902249806,1.9255236617532971,2.312645461598138,1.895267649340574
