Model,Accuracy,F1,AUC
LogisticRegression,0.9102079395085066,0.9100920406841785,0.9701747671896982
DecisionTree,0.8837429111531191,0.8839020972596272,0.891760975343065
RandomForest,0.9045368620037807,0.9039737756458981,0.9695697337488383
GBT,0.9045368620037807,0.9042593434743943,0.963601406884987
