Category,Freq,AvgRating,Impact,Priority,FreqPct
Ground Service,998,1.9549098196392785,3.0450901803607215,3039.0,51.074718526100305
Food & Beverages,640,2.2984375,2.7015625,1729.0,32.75332650972365
Seat Comfort,152,1.9210526315789473,3.0789473684210527,468.0,7.778915046059365
Delay & Cancel,90,1.3666666666666667,3.6333333333333333,327.0,4.605936540429887
Cabin Staff,51,1.7843137254901962,3.215686274509804,164.0,2.610030706243603
Booking & Refund,18,1.6111111111111112,3.388888888888889,61.0,0.9211873080859775
Uncategorized,3,1.6666666666666667,3.333333333333333,10.0,0.15353121801432956
Baggage,1,1.0,4.0,4.0,0.0511770726714432
In-flight Ent,1,4.0,1.0,1.0,0.0511770726714432
